Time,Day-ahead Total Load Forecast [6.1.B],Actual Total Load [6.1.A]
00:00 - 00:15,50137,51439
00:15 - 00:30,49545,50988
00:30 - 00:45,49067,51059
00:45 - 01:00,48476,50882
01:00 - 01:15,47452,50467
01:15 - 01:30,47264,50067
01:30 - 01:45,46722,49605
01:45 - 02:00,46372,49150
02:00 - 02:15,45985,48742
02:15 - 02:30,45792,48349
02:30 - 02:45,45728,47876
02:45 - 03:00,45501,47322
03:00 - 03:15,45473,46812
03:15 - 03:30,45262,46420
03:30 - 03:45,45232,46134
03:45 - 04:00,45258,45971
04:00 - 04:15,45331,45794
04:15 - 04:30,45264,45442
04:30 - 04:45,45490,45511
04:45 - 05:00,45607,45451
05:00 - 05:15,45783,45396
05:15 - 05:30,45783,45120
05:30 - 05:45,45737,44843
05:45 - 06:00,45503,44380
06:00 - 06:15,44242,43626
06:15 - 06:30,43452,43638
06:30 - 06:45,43979,43808
06:45 - 07:00,44630,43825
07:00 - 07:15,46213,44148
07:15 - 07:30,47594,44143
07:30 - 07:45,47858,44401
07:45 - 08:00,48349,44633
08:00 - 08:15,49339,45000
08:15 - 08:30,49841,45180
08:30 - 08:45,49804,45433
08:45 - 09:00,50481,46136
09:00 - 09:15,51565,47214
09:15 - 09:30,52430,48145
09:30 - 09:45,52860,49055
09:45 - 10:00,53306,49938
10:00 - 10:15,53855,50424
10:15 - 10:30,54502,51161
10:30 - 10:45,55303,51922
10:45 - 11:00,55741,52668
11:00 - 11:15,56705,53768
11:15 - 11:30,57284,54348
11:30 - 11:45,57917,54984
11:45 - 12:00,57994,55544
12:00 - 12:15,58035,55862
12:15 - 12:30,58005,56138
12:30 - 12:45,57915,56135
12:45 - 13:00,56818,55848
13:00 - 13:15,55345,55421
13:15 - 13:30,54964,54888
13:30 - 13:45,55505,54679
13:45 - 14:00,55117,54575
14:00 - 14:15,54280,54443
14:15 - 14:30,54595,53903
14:30 - 14:45,55248,53773
14:45 - 15:00,54755,53288
15:00 - 15:15,54969,53478
15:15 - 15:30,54979,53579
15:30 - 15:45,54831,53651
15:45 - 16:00,54969,53778
16:00 - 16:15,55502,54289
16:15 - 16:30,55933,55339
16:30 - 16:45,57043,56604
16:45 - 17:00,58396,58060
17:00 - 17:15,59344,59801
17:15 - 17:30,60264,60644
17:30 - 17:45,60885,61182
17:45 - 18:00,61063,61395
18:00 - 18:15,61475,61522
18:15 - 18:30,61549,61428
18:30 - 18:45,61500,61408
18:45 - 19:00,61217,61010
19:00 - 19:15,61071,61135
19:15 - 19:30,60715,61043
19:30 - 19:45,60306,60694
19:45 - 20:00,59631,60203
20:00 - 20:15,58893,59676
20:15 - 20:30,57931,58898
20:30 - 20:45,57047,57984
20:45 - 21:00,56404,57311
21:00 - 21:15,56317,56912
21:15 - 21:30,56030,56705
21:30 - 21:45,54627,56431
21:45 - 22:00,54605,56776
22:00 - 22:15,55582,57717
22:15 - 22:30,55255,57153
22:30 - 22:45,55505,56604
22:45 - 23:00,54628,55787
23:00 - 23:15,54016,55181
23:15 - 23:30,53275,54023
23:30 - 23:45,51354,53225
23:45 - 00:00,49892,52611
00:00 - 00:15,48143,51089
00:15 - 00:30,45927,51140
00:30 - 00:45,47127,49889
00:45 - 01:00,46637,49421
01:00 - 01:15,46044,48884
01:15 - 01:30,45518,48266
01:30 - 01:45,45267,48023
01:45 - 02:00,44961,47781
02:00 - 02:15,44605,47330
02:15 - 02:30,44503,47134
02:30 - 02:45,44525,46967
02:45 - 03:00,44385,46775
03:00 - 03:15,44549,46633
03:15 - 03:30,44447,46613
03:30 - 03:45,44410,46682
03:45 - 04:00,44594,46723
04:00 - 04:15,45238,47261
04:15 - 04:30,45426,47364
04:30 - 04:45,45742,47680
04:45 - 05:00,46323,47942
05:00 - 05:15,47017,48836
05:15 - 05:30,47143,49030
05:30 - 05:45,47795,49357
05:45 - 06:00,48727,49976
06:00 - 06:15,49506,50777
06:15 - 06:30,50251,51486
06:30 - 06:45,51562,52490
06:45 - 07:00,52893,53570
07:00 - 07:15,55357,55322
07:15 - 07:30,57298,56059
07:30 - 07:45,58203,57223
07:45 - 08:00,59026,58717
08:00 - 08:15,59968,60137
08:15 - 08:30,60084,61169
08:30 - 08:45,60302,61822
08:45 - 09:00,60557,62384
09:00 - 09:15,60965,63654
09:15 - 09:30,61721,64357
09:30 - 09:45,62091,64964
09:45 - 10:00,62423,65413
10:00 - 10:15,62718,66387
10:15 - 10:30,62876,66677
10:30 - 10:45,63229,67191
10:45 - 11:00,63675,67342
11:00 - 11:15,63963,67897
11:15 - 11:30,64480,68171
11:30 - 11:45,64623,68500
11:45 - 12:00,64400,68853
12:00 - 12:15,64544,68689
12:15 - 12:30,64288,68396
12:30 - 12:45,64284,68259
12:45 - 13:00,63262,67875
13:00 - 13:15,61898,67727
13:15 - 13:30,61671,67446
13:30 - 13:45,62254,67027
13:45 - 14:00,62066,66661
14:00 - 14:15,60625,66427
14:15 - 14:30,61478,66136
14:30 - 14:45,62053,65947
14:45 - 15:00,61962,65613
15:00 - 15:15,61907,65573
15:15 - 15:30,61475,65526
15:30 - 15:45,61504,65400
15:45 - 16:00,61303,65534
16:00 - 16:15,61957,66174
16:15 - 16:30,62419,67015
16:30 - 16:45,63442,67617
16:45 - 17:00,64529,68199
17:00 - 17:15,65370,69155
17:15 - 17:30,66226,69447
17:30 - 17:45,66479,69583
17:45 - 18:00,66627,69510
18:00 - 18:15,66502,70055
18:15 - 18:30,66134,69791
18:30 - 18:45,66005,69520
18:45 - 19:00,65609,69261
19:00 - 19:15,65148,68745
19:15 - 19:30,64313,67998
19:30 - 19:45,63682,67638
19:45 - 20:00,62727,66976
20:00 - 20:15,61478,65130
20:15 - 20:30,60219,63757
20:30 - 20:45,58994,62957
20:45 - 21:00,58097,62094
21:00 - 21:15,57546,61410
21:15 - 21:30,55956,61044
21:30 - 21:45,53975,60804
21:45 - 22:00,53445,60764
22:00 - 22:15,54075,61062
22:15 - 22:30,54144,60538
22:30 - 22:45,53274,59895
22:45 - 23:00,52268,55929
23:00 - 23:15,51953,54869
23:15 - 23:30,51756,53805
23:30 - 23:45,52045,53089
23:45 - 00:00,50595,52179
00:00 - 00:15,49815,51474
00:15 - 00:30,48447,50569
00:30 - 00:45,49828,50281
00:45 - 01:00,49125,49617
01:00 - 01:15,48413,49111
01:15 - 01:30,47828,48308
01:30 - 01:45,47395,47654
01:45 - 02:00,47091,47394
02:00 - 02:15,46753,46951
02:15 - 02:30,46527,46467
02:30 - 02:45,46400,46154
02:45 - 03:00,46335,46019
03:00 - 03:15,46321,45887
03:15 - 03:30,46164,45741
03:30 - 03:45,46490,45724
03:45 - 04:00,46732,45849
04:00 - 04:15,46656,46075
04:15 - 04:30,46500,46065
04:30 - 04:45,47098,46117
04:45 - 05:00,47217,46279
05:00 - 05:15,47039,46657
05:15 - 05:30,46788,46449
05:30 - 05:45,46848,46506
05:45 - 06:00,46811,47216
06:00 - 06:15,46832,47508
06:15 - 06:30,46859,47713
06:30 - 06:45,47281,48076
06:45 - 07:00,48042,48473
07:00 - 07:15,48922,49372
07:15 - 07:30,49706,50175
07:30 - 07:45,50655,50861
07:45 - 08:00,51632,51610
08:00 - 08:15,52841,52595
08:15 - 08:30,53636,53272
08:30 - 08:45,54539,53931
08:45 - 09:00,55286,54990
09:00 - 09:15,56352,56187
09:15 - 09:30,57214,56727
09:30 - 09:45,57672,57787
09:45 - 10:00,58158,58649
10:00 - 10:15,59025,59298
10:15 - 10:30,59491,59907
10:30 - 10:45,59694,60313
10:45 - 11:00,60126,60712
11:00 - 11:15,60503,61269
11:15 - 11:30,60930,61981
11:30 - 11:45,61192,62563
11:45 - 12:00,60909,62770
12:00 - 12:15,60772,61363
12:15 - 12:30,60497,61353
12:30 - 12:45,60174,62371
12:45 - 13:00,59980,62107
13:00 - 13:15,59681,62061
13:15 - 13:30,59379,61479
13:30 - 13:45,58866,61067
13:45 - 14:00,58775,60544
14:00 - 14:15,58308,60471
14:15 - 14:30,58028,60244
14:30 - 14:45,57731,60051
14:45 - 15:00,57606,59819
15:00 - 15:15,57677,60172
15:15 - 15:30,57220,60044
15:30 - 15:45,56657,60090
15:45 - 16:00,57312,60247
16:00 - 16:15,58082,60908
16:15 - 16:30,58468,62438
16:30 - 16:45,58800,63185
16:45 - 17:00,59511,64144
17:00 - 17:15,59919,66384
17:15 - 17:30,60835,66668
17:30 - 17:45,61071,67021
17:45 - 18:00,61121,67085
18:00 - 18:15,61380,67402
18:15 - 18:30,60853,67137
18:30 - 18:45,60735,67001
18:45 - 19:00,60563,66558
19:00 - 19:15,60202,65873
19:15 - 19:30,59770,66015
19:30 - 19:45,59320,65134
19:45 - 20:00,58572,64954
20:00 - 20:15,57711,62984
20:15 - 20:30,56684,61830
20:30 - 20:45,55670,60821
20:45 - 21:00,55177,59828
21:00 - 21:15,54798,58598
21:15 - 21:30,54441,58421
21:30 - 21:45,54068,58309
21:45 - 22:00,53819,58424
22:00 - 22:15,54278,58751
22:15 - 22:30,54532,58979
22:30 - 22:45,54107,58454
22:45 - 23:00,53261,57436
23:00 - 23:15,52754,56292
23:15 - 23:30,51285,56024
23:30 - 23:45,50532,55026
23:45 - 00:00,50361,54425
00:00 - 00:15,49483,53266
00:15 - 00:30,47893,52561
00:30 - 00:45,46832,52202
00:45 - 01:00,46509,51413
01:00 - 01:15,45920,48568
01:15 - 01:30,45588,48073
01:30 - 01:45,45219,47626
01:45 - 02:00,44538,47339
02:00 - 02:15,44425,46732
02:15 - 02:30,44167,46469
02:30 - 02:45,44091,46171
02:45 - 03:00,43912,45916
03:00 - 03:15,44218,45344
03:15 - 03:30,44432,45311
03:30 - 03:45,44269,45418
03:45 - 04:00,43985,45497
04:00 - 04:15,44123,45426
04:15 - 04:30,44112,45328
04:30 - 04:45,44330,45577
04:45 - 05:00,44263,45661
05:00 - 05:15,44232,45572
05:15 - 05:30,44033,45228
05:30 - 05:45,43739,45140
05:45 - 06:00,43184,44630
06:00 - 06:15,42420,43941
06:15 - 06:30,42119,44060
06:30 - 06:45,42025,45296
06:45 - 07:00,41992,45388
07:00 - 07:15,42443,46363
07:15 - 07:30,42951,46858
07:30 - 07:45,43644,48180
07:45 - 08:00,44659,48762
08:00 - 08:15,45521,49544
08:15 - 08:30,46181,50138
08:30 - 08:45,47123,50901
08:45 - 09:00,47996,51455
09:00 - 09:15,49520,52454
09:15 - 09:30,50410,53390
09:30 - 09:45,50973,54172
09:45 - 10:00,51646,55091
10:00 - 10:15,52284,55999
10:15 - 10:30,52763,56833
10:30 - 10:45,53329,57615
10:45 - 11:00,53785,58381
11:00 - 11:15,54671,59253
11:15 - 11:30,55450,60486
11:30 - 11:45,55957,61182
11:45 - 12:00,56108,61197
12:00 - 12:15,56262,61097
12:15 - 12:30,55985,60965
12:30 - 12:45,55659,60754
12:45 - 13:00,55183,60240
13:00 - 13:15,54665,59919
13:15 - 13:30,54338,59268
13:30 - 13:45,53844,58955
13:45 - 14:00,53486,58274
14:00 - 14:15,53207,57850
14:15 - 14:30,52590,57148
14:30 - 14:45,52275,56682
14:45 - 15:00,52181,56587
15:00 - 15:15,52296,56775
15:15 - 15:30,52289,56429
15:30 - 15:45,52153,56401
15:45 - 16:00,52455,56584
16:00 - 16:15,52749,57439
16:15 - 16:30,53282,58174
16:30 - 16:45,54017,59179
16:45 - 17:00,55204,60535
17:00 - 17:15,56630,62077
17:15 - 17:30,57814,62860
17:30 - 17:45,58266,63368
17:45 - 18:00,58517,63752
18:00 - 18:15,59086,64206
18:15 - 18:30,59337,64036
18:30 - 18:45,59322,64025
18:45 - 19:00,59104,63848
19:00 - 19:15,58842,63235
19:15 - 19:30,58230,62723
19:30 - 19:45,57780,62770
19:45 - 20:00,56911,62360
20:00 - 20:15,56110,61439
20:15 - 20:30,55280,60528
20:30 - 20:45,54567,59680
20:45 - 21:00,53908,59197
21:00 - 21:15,53879,58570
21:15 - 21:30,53533,58441
21:30 - 21:45,53543,58240
21:45 - 22:00,53751,58289
22:00 - 22:15,54551,59192
22:15 - 22:30,54585,58949
22:30 - 22:45,53914,58862
22:45 - 23:00,52960,57806
23:00 - 23:15,52297,56797
23:15 - 23:30,51931,55966
23:30 - 23:45,51453,55385
23:45 - 00:00,50585,54570
00:00 - 00:15,51003,54386
00:15 - 00:30,50480,53601
00:30 - 00:45,50145,52914
00:45 - 01:00,49678,52240
01:00 - 01:15,49198,51704
01:15 - 01:30,48671,51038
01:30 - 01:45,48291,50820
01:45 - 02:00,48238,50618
02:00 - 02:15,47612,50362
02:15 - 02:30,47382,50132
02:30 - 02:45,47282,49799
02:45 - 03:00,47180,49809
03:00 - 03:15,47273,49659
03:15 - 03:30,47196,49770
03:30 - 03:45,47311,49881
03:45 - 04:00,47389,50068
04:00 - 04:15,47782,50380
04:15 - 04:30,48105,50596
04:30 - 04:45,48530,51233
04:45 - 05:00,49064,52056
05:00 - 05:15,49714,53398
05:15 - 05:30,50698,54139
05:30 - 05:45,51544,54968
05:45 - 06:00,52486,56485
06:00 - 06:15,54481,58200
06:15 - 06:30,56543,60112
06:30 - 06:45,57889,61831
06:45 - 07:00,59256,63503
07:00 - 07:15,61336,65664
07:15 - 07:30,62577,67154
07:30 - 07:45,63288,68355
07:45 - 08:00,63981,69591
08:00 - 08:15,65060,70657
08:15 - 08:30,65250,71068
08:30 - 08:45,65467,71717
08:45 - 09:00,65875,71873
09:00 - 09:15,66134,72387
09:15 - 09:30,66527,72631
09:30 - 09:45,67038,73017
09:45 - 10:00,66831,73422
10:00 - 10:15,67670,74042
10:15 - 10:30,67874,74371
10:30 - 10:45,68558,74670
10:45 - 11:00,68323,74823
11:00 - 11:15,68745,75034
11:15 - 11:30,69367,75449
11:30 - 11:45,69657,75704
11:45 - 12:00,69639,75689
12:00 - 12:15,69364,75421
12:15 - 12:30,69980,75511
12:30 - 12:45,69282,75618
12:45 - 13:00,69886,75483
13:00 - 13:15,69098,75573
13:15 - 13:30,67196,75094
13:30 - 13:45,68879,74571
13:45 - 14:00,68091,73959
14:00 - 14:15,66061,73872
14:15 - 14:30,65781,73793
14:30 - 14:45,66035,73326
14:45 - 15:00,67835,73064
15:00 - 15:15,67861,73497
15:15 - 15:30,67760,73182
15:30 - 15:45,67234,72624
15:45 - 16:00,66740,72347
16:00 - 16:15,67366,73071
16:15 - 16:30,67011,73688
16:30 - 16:45,67413,73970
16:45 - 17:00,68147,74876
17:00 - 17:15,68617,76997
17:15 - 17:30,69165,78170
17:30 - 17:45,69680,78537
17:45 - 18:00,70082,78849
18:00 - 18:15,70026,78449
18:15 - 18:30,69973,78014
18:30 - 18:45,70495,77615
18:45 - 19:00,70658,77551
19:00 - 19:15,70083,76945
19:15 - 19:30,69743,76249
19:30 - 19:45,69167,75596
19:45 - 20:00,68315,74865
20:00 - 20:15,66896,73060
20:15 - 20:30,65989,71781
20:30 - 20:45,64809,70889
20:45 - 21:00,63821,70039
21:00 - 21:15,62870,68589
21:15 - 21:30,62603,67932
21:30 - 21:45,61550,67363
21:45 - 22:00,61040,66838
22:00 - 22:15,61045,66951
22:15 - 22:30,60807,66306
22:30 - 22:45,59714,65462
22:45 - 23:00,58606,64539
23:00 - 23:15,55419,62682
23:15 - 23:30,56405,61628
23:30 - 23:45,55451,60835
23:45 - 00:00,54625,60148
00:00 - 00:15,54442,58551
00:15 - 00:30,49935,57487
00:30 - 00:45,52796,56775
00:45 - 01:00,52169,56173
01:00 - 01:15,51786,55304
01:15 - 01:30,51137,54682
01:30 - 01:45,50694,54281
01:45 - 02:00,50238,53971
02:00 - 02:15,49895,53665
02:15 - 02:30,49566,53262
02:30 - 02:45,50006,53227
02:45 - 03:00,49466,53205
03:00 - 03:15,49541,53233
03:15 - 03:30,49339,53171
03:30 - 03:45,49406,53184
03:45 - 04:00,49657,53217
04:00 - 04:15,49879,53773
04:15 - 04:30,50182,53824
04:30 - 04:45,50478,54103
04:45 - 05:00,50839,54498
05:00 - 05:15,51820,55130
05:15 - 05:30,52325,55520
05:30 - 05:45,53043,55866
05:45 - 06:00,54030,56619
06:00 - 06:15,55575,57537
06:15 - 06:30,56803,59091
06:30 - 06:45,58803,60660
06:45 - 07:00,59311,61753
07:00 - 07:15,61477,64049
07:15 - 07:30,62671,65251
07:30 - 07:45,63423,66453
07:45 - 08:00,64109,67354
08:00 - 08:15,65547,68345
08:15 - 08:30,65782,68542
08:30 - 08:45,66106,68907
08:45 - 09:00,66587,69316
09:00 - 09:15,66735,69522
09:15 - 09:30,67445,70208
09:30 - 09:45,68079,70868
09:45 - 10:00,68378,71672
10:00 - 10:15,68922,71756
10:15 - 10:30,68760,72332
10:30 - 10:45,69320,72713
10:45 - 11:00,69637,73245
11:00 - 11:15,69984,73496
11:15 - 11:30,70322,74209
11:30 - 11:45,70725,74509
11:45 - 12:00,71126,74306
12:00 - 12:15,70948,74200
12:15 - 12:30,70696,73816
12:30 - 12:45,69846,73600
12:45 - 13:00,69649,73254
13:00 - 13:15,68375,72958
13:15 - 13:30,69636,72507
13:30 - 13:45,69638,71912
13:45 - 14:00,68702,71260
14:00 - 14:15,66330,70791
14:15 - 14:30,66018,70331
14:30 - 14:45,68542,70033
14:45 - 15:00,64522,69850
15:00 - 15:15,67530,69832
15:15 - 15:30,67517,69857
15:30 - 15:45,67175,69736
15:45 - 16:00,66788,69826
16:00 - 16:15,67170,70559
16:15 - 16:30,66700,71250
16:30 - 16:45,67198,72166
16:45 - 17:00,67858,73484
17:00 - 17:15,68568,75586
17:15 - 17:30,69092,76560
17:30 - 17:45,69484,77247
17:45 - 18:00,69735,77720
18:00 - 18:15,70114,77106
18:15 - 18:30,69933,76457
18:30 - 18:45,70366,76453
18:45 - 19:00,70066,76564
19:00 - 19:15,69981,75605
19:15 - 19:30,70053,75052
19:30 - 19:45,69474,74561
19:45 - 20:00,68570,74084
20:00 - 20:15,67700,72204
20:15 - 20:30,66539,71025
20:30 - 20:45,65498,70103
20:45 - 21:00,64396,69069
21:00 - 21:15,63677,68491
21:15 - 21:30,63401,67884
21:30 - 21:45,62483,67211
21:45 - 22:00,61875,66383
22:00 - 22:15,61812,66825
22:15 - 22:30,61900,66096
22:30 - 22:45,60754,65101
22:45 - 23:00,59662,63837
23:00 - 23:15,58382,62690
23:15 - 23:30,55261,61535
23:30 - 23:45,56781,60432
23:45 - 00:00,55842,59718
00:00 - 00:15,54310,59093
00:15 - 00:30,53428,58129
00:30 - 00:45,52563,57178
00:45 - 01:00,52156,56556
01:00 - 01:15,51494,55844
01:15 - 01:30,50864,55174
01:30 - 01:45,50522,54889
01:45 - 02:00,50256,54727
02:00 - 02:15,49896,54726
02:15 - 02:30,50005,54491
02:30 - 02:45,49690,54434
02:45 - 03:00,49180,54452
03:00 - 03:15,49538,54427
03:15 - 03:30,49547,54477
03:30 - 03:45,49801,54616
03:45 - 04:00,50311,54645
04:00 - 04:15,51009,55143
04:15 - 04:30,51444,55534
04:30 - 04:45,51726,55996
04:45 - 05:00,52467,56772
05:00 - 05:15,53455,58221
05:15 - 05:30,54222,58856
05:30 - 05:45,55037,59963
05:45 - 06:00,55691,61514
06:00 - 06:15,57974,64507
06:15 - 06:30,60387,67328
06:30 - 06:45,61929,69092
06:45 - 07:00,63719,70789
07:00 - 07:15,66175,74039
07:15 - 07:30,67161,75487
07:30 - 07:45,68100,76501
07:45 - 08:00,68773,77638
08:00 - 08:15,69730,78607
08:15 - 08:30,69920,78870
08:30 - 08:45,70031,78768
08:45 - 09:00,70190,78995
09:00 - 09:15,70087,79042
09:15 - 09:30,70519,79246
09:30 - 09:45,70758,79439
09:45 - 10:00,70999,79702
10:00 - 10:15,71198,80372
10:15 - 10:30,71519,80738
10:30 - 10:45,71859,81131
10:45 - 11:00,72183,81432
11:00 - 11:15,72597,81571
11:15 - 11:30,72720,82062
11:30 - 11:45,73279,82542
11:45 - 12:00,73218,82495
12:00 - 12:15,72732,81977
12:15 - 12:30,72325,81997
12:30 - 12:45,72412,82001
12:45 - 13:00,72252,81956
13:00 - 13:15,72779,81659
13:15 - 13:30,72026,81388
13:30 - 13:45,69898,81177
13:45 - 14:00,71468,80838
14:00 - 14:15,71425,80765
14:15 - 14:30,71122,80463
14:30 - 14:45,70953,80170
14:45 - 15:00,70603,79651
15:00 - 15:15,71170,79642
15:15 - 15:30,71065,79252
15:30 - 15:45,71035,78786
